Target_word;frequency_ZipfSUBTLEX;syllables;Target_word_sing_plural
frucht;3,586409458;1;
schaf;3,756551384;1;
busch;3,791083034;1;
zaun;4,05758138;1;
fleck;4,098974065;1;
durst;4,153891952;1;
stift;4,198327755;1;
sprung;4,228651838;1;
klang;4,302753558;1;
hals;4,759238674;1;
delfin;3,197243373;2;
sirup;3,351058238;2;
geige;3,524602308;2;geigen
muenze;4,013484673;2;muenzen
wade;4,244518241;2;waden
fabrik;4,340258174;2;
geschmack;4,391063399;2;
kuchen;4,57790677;2;
zeitung;4,656635861;2;
hoffnung;4,801469426;2;
laterne;3,238636058;3;laternen
hinterhof;3,380513217;3;
zahnbuerste;3,681543213;3;zahnbuersten
casino;3,81529147;3;casinos
handtasche;3,85525477;3;handtaschen
kleinigkeit;4,043889702;3;
politik;4,354095274;3;
dunkelheit;4,397957107;3;
medizin;4,60293116;3;
kamera;4,871645186;3;kameras
