Target_word;frequency_ZipfSUBTLEX;syllables;Target_word_sing_plural
spalt;3,319459252;1;
mehl;3,452515878;1;
schal;3,612216721;1;
obst;3,72872229;1;
wurm;3,84069605;1;
axt;3,843156648;1;
saft;4,093493936;1; 
tal;4,121522659;1;
sport;4,244518241;1;
krebs;4,421258185;1;
meer;4,663369244;1;
ring;4,693480918;1;
glas;4,708792533;1;
gold;4,728402839;1;
skulptur;3,452515878;2;
gabel;3,659641371;2;gabeln
kreuzung;3,762500717;2;
birne;3,774160329;2;birnen
wuerfel;3,812667326;2;wuerfeln
spinne;3,889649608;2;spinnen
torte;3,9454314;2;torten
pfeife;4,006803088;2;pfeifen
muster;4,008483146;2;
glocke;4,126662299;2;glocken
pflanzen;4,152690584;2;pflanze
atem;4,234669871;2;
jacke;4,444602796;2;jacken
vogel;4,59474887;2;
sonne;4,812140589;2;sonnen
postkarte;3,481674107;3;postkarten
dachboden;3,508997234;3;
ausgaenge;3,612216721;3;
motoren;3,63260988;3;
banane;3,674364628;3;bananen
vorhaenge;3,807370986;3;
kartoffeln;3,913246717;3;kartoffel
einsamkeit;3,982573208;3;
buchstaben;3,989635063;3;
cousine;4,008483146;3;cousinen
geraeusche;4,163385106;3;
gesundheit;4,221523749;3;
restaurant;4,63260988;3;restaurants
gebaeude;4,836231533;3;
kontrolle;4,92090424;3;kontrollen
